No,タイトル,内容,何がわかるか,状態,ファイル名
1,ビッグファイブ性格特性,五大性格因子（開放性・誠実性・外向性・協調性・神経症傾向）のスコア分析,二人の基本的な性格傾向と差異,✅完了,1_ビッグファイブ性格特性.md
2,エニアグラム分析,9タイプの性格分類と中核的動機・恐怖の分析,深層にある欲求・恐怖・行動パターン,✅完了,2_エニアグラム分析.md
3,MBTI分析,ENTJ×INTJの認知機能スタック比較,思考・判断スタイルの共通点と相違点,✅完了,3_MBTI分析_ENTJ×INTJ.md
4,ソシオニクス分析,SLE×ILIの情報代謝モデル（IM要素）による分析,MBTIより深い無意識レベルの相互作用,✅完了,4_ソシオニクス分析レポート.md
5,恋愛タイプ診断,愛のスタイル・愛情言語・アタッチメント理論による分析,恋愛での与え方・求め方のパターン,✅完了,5_恋愛タイプ診断.md
6,星座エレメント分析,星座のエレメント（火・地・風・水）による相性,本能的・直感的な相性の傾向,✅完了,6_星座エレメント分析_ENTJ×INTJ.md
7,ホロスコープ分析,出生ホロスコープと二人のシナストリー（惑星配置）分析,深層的な引力・緊張・運命的パターン,✅完了,7_ホロスコープ分析.md
8,ENTJ最強相性ランキング,全診断データ統合によるshoki個人の相性MBTI TOP5,shokiに本当に合うタイプの優先順位,✅完了,8_ENTJ最強相性ランキング.md
9,INTJ最強相性ランキング,全診断データ統合によるゆう個人の相性MBTI TOP5,ゆうに本当に合うタイプの優先順位,✅完了,9_INTJ最強相性ランキング.md
10,ストレス＆地雷マップ,ストレス源・地雷・反応パターン・回復方法・禁句リストの統合分析,何にストレスを感じ何をされると壊れどう回復するか,✅完了,10_ストレス＆地雷マップ.md
11,影の自己分析（シャドウ）,ユング心理学のシャドウ・アニマ/アニムス分析,抑圧している部分・無意識の反応パターン,✅完了,12_影の自己分析（シャドウ）.md
12,成長軌跡マップ,エニアグラムの統合/分裂方向と健全〜不健全レベル別行動,成長すると／追い詰められるとどう変わるか,⬜未着手,
13,知性スタイル診断,ハワード・ガードナーの多重知能理論（8種）でのプロファイル,得意な思考様式・学習スタイルの強弱,⬜未着手,
14,価値観マトリクス,シュワルツの基本的価値観モデル（10価値観）でのプロファイル,何を大切にして生きているかの構造,⬜未着手,
15,防衛機制分析,投影・合理化・知性化など心理的防衛機制の傾向分析,ストレス下での無意識の自己防衛パターン,⬜未着手,
16,コミュニケーションスタイル衝突マップ,NT×NT同士の議論・すれ違いパターンのシーン別分析,どの場面でどんな衝突が起きやすいか,⬜未着手,
17,権力・意思決定ダイナミクス,主導権・対立時の構造・意思決定プロセスの分析,どちらが主導しやすくどう折り合うか,⬜未着手,
18,長期関係シミュレーション,交際〜同棲〜結婚と段階が進むにつれた関係変化の予測,関係が深まるにつれて何が起きるか,⬜未着手,
19,危機パターン分析,二人が陥りやすい関係の危機パターンと回避策,どんな状況で関係が壊れやすく何が防ぐか,⬜未着手,
20,性的・身体的親密さスタイル,ビッグファイブ×愛情言語×MBTIによる身体的親密さの分析,身体的な距離感・求め方の違いと合わせ方,⬜未着手,
21,職業・キャリア相性分析,仕事でチームを組んだ場合の強み・弱み・役割分担,二人がビジネスパートナーだったらどうなるか,⬜未着手,
22,子育てスタイル予測,MBTI×エニアグラムによる親としての傾向と子どもへの影響,どんな親になりどんな家庭を作るか,⬜未着手,
23,喧嘩シミュレーション,きっかけ・発言・内心・メカニズム・修復の一言をシーン別に完全解剖,どんな喧嘩をしてどう仲直りするか,✅完了,11_喧嘩シミュレーション.md
